Source,Target,Type,Id,Label,timeset,Weight,TYPE
268,686,Directed,12546,NEXT_WORD,,1,NEXT_WORD
2315,268,Directed,12545,NEXT_WORD,,1,NEXT_WORD
268,3580,Directed,82,MENTIONED_BY,,1,MENTIONED_BY
268,269,Directed,81,NEXT_WORD,,1,NEXT_WORD
269,1029,Directed,16487,NEXT_WORD,,1,NEXT_WORD
1657,269,Directed,14757,NEXT_WORD,,1,NEXT_WORD
269,3180,Directed,13806,NEXT_WORD,,1,NEXT_WORD
544,269,Directed,12415,NEXT_WORD,,1,NEXT_WORD
269,444,Directed,12112,NEXT_WORD,,1,NEXT_WORD
269,2887,Directed,12098,NEXT_WORD,,1,NEXT_WORD
404,269,Directed,11528,NEXT_WORD,,1,NEXT_WORD
511,269,Directed,9342,NEXT_WORD,,1,NEXT_WORD
269,343,Directed,9343,NEXT_WORD,,1,NEXT_WORD
1587,269,Directed,9341,NEXT_WORD,,1,NEXT_WORD
615,269,Directed,8900,NEXT_WORD,,1,NEXT_WORD
269,878,Directed,8901,NEXT_WORD,,1,NEXT_WORD
878,269,Directed,8902,NEXT_WORD,,1,NEXT_WORD
269,881,Directed,8903,NEXT_WORD,,1,NEXT_WORD
269,318,Directed,7970,NEXT_WORD,,1,NEXT_WORD
629,269,Directed,7969,NEXT_WORD,,1,NEXT_WORD
269,317,Directed,7963,NEXT_WORD,,1,NEXT_WORD
269,269,Directed,7962,NEXT_WORD,,1,NEXT_WORD
269,511,Directed,7449,NEXT_WORD,,1,NEXT_WORD
413,269,Directed,7448,NEXT_WORD,,1,NEXT_WORD
1327,269,Directed,7184,NEXT_WORD,,1,NEXT_WORD
269,641,Directed,6379,NEXT_WORD,,1,NEXT_WORD
269,1327,Directed,5905,NEXT_WORD,,1,NEXT_WORD
1120,269,Directed,5904,NEXT_WORD,,1,NEXT_WORD
269,538,Directed,4844,NEXT_WORD,,1,NEXT_WORD
936,269,Directed,4843,NEXT_WORD,,1,NEXT_WORD
269,601,Directed,3094,NEXT_WORD,,1,NEXT_WORD
269,574,Directed,3095,MENTIONED_BY,,1,MENTIONED_BY
1271,269,Directed,3092,NEXT_WORD,,1,NEXT_WORD
269,705,Directed,2993,NEXT_WORD,,1,NEXT_WORD
342,269,Directed,2992,NEXT_WORD,,1,NEXT_WORD
